Job,Link,Company,Location,Classification,Subclassification,Type,Date_Posted,Description
Business Improvement Analyst,,at NZDF,"Upper Hutt, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Merkle 2024 Graduate intake - Expressions of Interest,,at dentsu,"Wellington Central, Wellington",Information & Communication Technology,Consultants,,,
Data Transition Specialist,,at LEAP Legal Software,"Auckland CBD, Auckland",Information & Communication Technology,Database Development & Administration,,,
Inventory Management Consultant - 3-Month Contract,,at Customise Talent Group,"Ellerslie, Auckland","Manufacturing, Transport & Logistics",Analysis & Reporting,,,
Head of Card Operations & Analytics,,at Card Works Limited,"Auckland CBD, Auckland",Banking & Financial Services,Analysis & Reporting,,,
Junior QA Engineer (BI),,at Xplor,"Auckland CBD, Auckland",Information & Communication Technology,Testing & Quality Assurance,,,
Principal Analyst - Research and Evaluation,,at Ministry for Pacific Peoples,"Wellington Central, Wellington",Government & Defence,"Policy, Planning & Regulation",,,
Policy Analyst,,at New Zealand Qualifications Authority,"Wellington Central, Wellington",Consulting & Strategy,Policy,,,
Senior/Intermediate Data Consultants,,at Recruit I.T. Auckland,Auckland,Information & Communication Technology,Database Development & Administration,,,
Compliance Analyst - AML/CFT (Mandarin Speaking),,at Tiger Brokers (NZ) Limited,"Auckland CBD, Auckland",Banking & Financial Services,Compliance & Risk,,,
Asset Information Technician,,at DOWNER NZ,"Christchurch Central, Canterbury",Information & Communication Technology,Business/Systems Analysts,,,
Retail Operations Specialist / Mātanga Whakahaere Hokohoko,,at Z Energy,"Wellington Central, Wellington",Retail & Consumer Products,Other,,,
Senior Business Analyst,,at Ryman Healthcare,"Christchurch Central, Canterbury",Information & Communication Technology,Business/Systems Analysts,,,
Financial Planning Analyst - AH NZ,,at MSD,"Upper Hutt, Wellington",Accounting,Analysis & Reporting,,,
Membership Manager,,at NZ Nurses Organisation,"Wellington Central, Wellington",Healthcare & Medical,Management,,,
Intermediate Test Analyst,,at Active Consulting,Auckland,Information & Communication Technology,Testing & Quality Assurance,,,
Financial Platforms Lead,,at New Zealand Trade & Enterprise,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Data Engineer,,at Scentian Bio,"Sandringham, Auckland",Science & Technology,Biotechnology & Genetics,,,
Senior MS Data Engineer (x2),,at Absolute IT Limited,"Auckland CBD, Auckland",Information & Communication Technology,Consultants,,,
Commercial Finance Analyst,,at Pernod Ricard Winemakers,"Auckland CBD, Auckland",Accounting,Analysis & Reporting,,,
Actuarial Analyst,,at QBE,"Auckland CBD, Auckland",Insurance & Superannuation,Actuarial,,,
Systems Manager,,at Danone Nutricia NZ Ltd,"Balclutha, Otago",Information & Communication Technology,Management,,,
Head of Business Analysis and Insights,,at NZDF,"Wellington Central, Wellington",Accounting,Analysis & Reporting,,,
Senior Analyst,,at Consult Recruitment - Accounting and Finance,"Auckland CBD, Auckland",Accounting,Insolvency & Corporate Recovery,,,
Technical Support Analyst,,at Suncorp,Auckland,Information & Communication Technology,Help Desk & IT Support,,,
Performance Analyst - Communications Ctr,,at New Zealand Police,"Auckland CBD, Auckland",Government & Defence,Police & Corrections,,,
Technical BA - Digital Platform NEW12805,,at Younity,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Senior Data Engineer,,at Suncorp,"Auckland CBD, Auckland",Information & Communication Technology,Other,,,
Senior Business Analyst,,at Consult Recruitment - IT & Digital,Auckland,Information & Communication Technology,Business/Systems Analysts,,,
Senior Analyst,,at Consult Recruitment - IT & Digital,"Auckland CBD, Auckland",Banking & Financial Services,Corporate Finance & Investment Banking,,,
Senior Business Analysts - Wellington and Auckland,,at Verity Consulting Ltd,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
"Manager Analysis, Research and Evaluation",,at Beyond Recruitment - Winner - Best Innovation -2018 Global Recruiter Awards,"Wellington Central, Wellington",Consulting & Strategy,Strategy & Planning,,,
Senior Technical Business Analyst,,at Presto Resourcing,Auckland,Information & Communication Technology,Business/Systems Analysts,,,
SAS Developer / Analyst,,at Potentia,Auckland,Information & Communication Technology,Developers/Programmers,,,
Support Analyst,,at Orion Health,"Christchurch Central, Canterbury",Information & Communication Technology,Help Desk & IT Support,,,
Financial Systems Test Analyst,,at Foodstuffs South Island Limited,"Christchurch, Canterbury",Accounting,Systems Accounting & IT Audit,,,
Marketing Executive,,at APLY Limited,"Auckland CBD, Auckland",Marketing & Communications,Marketing Assistants/Coordinators,,,
Finance and Operations Manager,,at Powerhouse Solutions Limited,"Mount Wellington, Auckland",Accounting,Management,,,
Senior Business Analyst,,at Techspace Consulting Limited,Wellington,Information & Communication Technology,Business/Systems Analysts,,,
Business Analyst,,at Comspek International Limited,Auckland,Information & Communication Technology,Business/Systems Analysts,,,
Market Risk Analyst,,at China Construction Bank (New Zealand) Ltd,"Auckland CBD, Auckland",Banking & Financial Services,Compliance & Risk,,,
Senior Technical Business Analyst - Applications,,at Hays | Technology,Auckland,Information & Communication Technology,Business/Systems Analysts,,,
Senior Intelligence Analyst,,at Waka Kotahi - NZ Transport Agency,Wellington,Government & Defence,"Policy, Planning & Regulation",,,
PMO Analyst,,at Tribe (New Zealand) Limited,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Senior Analyst - Policy Research and Development,,at Reserve Bank of New Zealand,Wellington,Banking & Financial Services,Other,,,
Communications & Fundraising Data Specialist,,at Rhema Media Inc.,"Auckland CBD, Auckland",Marketing & Communications,Direct Marketing & CRM,,,
Research Officer,,at The University of Waikato,"Hamilton Central, Waikato",Education & Training,Research & Fellowships,,,
Senior Geospatial Analyst,,at H2R Technology Limited,"Wellington Central, Wellington",Science & Technology,"Environmental, Earth & Geosciences",,,
Senior Application Specialist - PRM,,at Kiwibank,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Senior Analyst Funds Management | Listed Property Australasia,,at Debbie Graham & Associates Limited,"Auckland CBD, Auckland",Banking & Financial Services,Funds Management,,,
Consulting Graduate Opportunities 2024,,at GradConnection,"Auckland CBD, Auckland",Information & Communication Technology,Consultants,,,
Change Analyst,,at H2R Technology Limited,Wellington,Consulting & Strategy,Management & Change Consulting,,,
Senior Business Analyst - Executive sponsored programme (Contract),,at Sourced | IT Recruitment Specialists,"Christchurch, Canterbury",Information & Communication Technology,Business/Systems Analysts,,,
Senior Business Analyst,,at Talent – Winner SEEK Large Recruitment Agency of the Year 2019,Auckland,Information & Communication Technology,Business/Systems Analysts,,,
Consulting - Lead Data and Integration Engineer - Wellington,,at PwC NZ,"Wellington Central, Wellington",Information & Communication Technology,Consultants,,,
Database Administrator,,at Global-Pix.com Ltd,"Hamilton Central, Waikato",Administration & Office Support,Data Entry & Word Processing,,,
Application Analyst,,at Napier City Council,"Napier Central, Hawkes Bay",Government & Defence,Government - Local,,,
Research Assistant,,at Robinson Research Institute,"Gracefield, Wellington",Science & Technology,Chemistry & Physics,,,
Marketing Executive,,at Wolfbrook Property Group,"Christchurch Central, Canterbury",Marketing & Communications,Marketing Communications,,,
Commercial Manager,,at DTS,"Hamilton Central, Waikato",Accounting,Financial Managers & Controllers,,,
Policy Analyst,,at Oranga Tamariki - Ministry for Children,"Wellington Central, Wellington",Government & Defence,"Policy, Planning & Regulation",,,
Software Project Manager/Business Analyst,,at Webtools Agritech,"Christchurch Central, Canterbury",Information & Communication Technology,Programme & Project Management,,,
Senior BI Consultant,,at Franklin Smith,Auckland,Information & Communication Technology,Consultants,,,
Consulting - Data Strategy & Governance – Associate Director,,at PwC NZ,"Auckland CBD, Auckland",Consulting & Strategy,Strategy & Planning,,,
Senior Associate Trust Management Securitisation,,at Westpac,"Auckland CBD, Auckland",Banking & Financial Services,Treasury,,,
Search Specialist,,at Waitapu Group,"Auckland CBD, Auckland",Marketing & Communications,Digital & Search Marketing,,,
Service Manager / Solutions Analyst - Finance & HR Systems,,at PwC NZ,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Research and Insights Executive,,at Foodstuffs North Island Ltd,"Auckland Airport, Auckland",Marketing & Communications,Market Research & Analysis,,,
"Kaitātari Kaupapa Here Matua | Senior Policy Analysts, Markets Directorate",,at Ministry for the Environment,"Wellington Central, Wellington",Government & Defence,"Policy, Planning & Regulation",,,
Senior Analyst Tester,,at FNZ Services (NZ) Limited,"Auckland CBD, Auckland",Information & Communication Technology,Testing & Quality Assurance,,,
Senior Analyst Tester,,at FNZ Services (NZ) Limited,"Auckland CBD, Auckland",Information & Communication Technology,Testing & Quality Assurance,,,
Graduate Researcher,,at Mackie Research & Consulting Ltd,"Auckland CBD, Auckland",Science & Technology,Other,,,
Senior Business Coordinator,,at New Zealand Security Intelligence Service,"Wellington Central, Wellington",Administration & Office Support,"PA, EA & Secretarial",,,
Senior Analyst Developer,,at Kathmandu (NZ),"Christchurch Central, Canterbury",Information & Communication Technology,Developers/Programmers,,,
Senior Data Engineer,,at Stuff,"Ponsonby, Auckland",Information & Communication Technology,Engineering - Software,,,
Policy Analyst,,at Ministry for Ethnic Communities,Wellington,Consulting & Strategy,Policy,,,
Senior Business Analyst,,at Crew Technology Recruitment,"Christchurch Central, Canterbury",Information & Communication Technology,Business/Systems Analysts,,,
Business Analyst | Proactive Risk Manager,,at Expert360,Wellington,Information & Communication Technology,Business/Systems Analysts,,,
"Kaitātari Kaupapa Here Matua | Senior Policy Analysts, Markets Directorate",,at Ministry for the Environment,"Auckland CBD, Auckland",Government & Defence,"Policy, Planning & Regulation",,,
Data & Systems Administrator,,at NZ Rugby,"Auckland CBD, Auckland",Information & Communication Technology,Database Development & Administration,,,
Operations Team Leader,,at Computer Dynamics Ltd,"Albany, Auckland","Manufacturing, Transport & Logistics",Team Leaders/Supervisors,,,
Product Developer (Apparel & Equipment) and Graphic Design,,at Bushbuck Limited,"Christchurch Central, Canterbury",Design & Architecture,Fashion & Textile Design,,,
Senior Systems Specialist,,at ASB Bank Limited,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Senior Technical Business Analyst,,at Hirepool,"Penrose, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Lead Data Engineer,,at Find IT Recruitment,"Wellington Central, Wellington",Information & Communication Technology,Database Development & Administration,,,
Senior Application Specialist - PRM,,at Kiwibank,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Senior Analyst Developer,,at Absolute IT Limited,"Auckland CBD, Auckland",Information & Communication Technology,Developers/Programmers,,,
Kaitātari Pakihi Matua | Senior Business Analyst,,at Te Tumu Paeroa,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Senior Analyst,,at Industrial and Commercial Bank of China (New Zealand) Ltd,"Auckland CBD, Auckland",Banking & Financial Services,Analysis & Reporting,,,
Risk & Compliance Analyst,,at Cultivate,"Auckland CBD, Auckland",Banking & Financial Services,Compliance & Risk,,,
Senior Financial Analyst,,at INSIDE Recruitment,"Wellington Central, Wellington",Accounting,Analysis & Reporting,,,
Business Adviser/Senior Business Adviser,,at Ministry for Primary Industries,"Wellington Central, Wellington",Government & Defence,Government,,,
Senior Business Analyst,,at Beyond Recruitment - Winner - Best Innovation -2018 Global Recruiter Awards,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Database Assistant,,at Eclipse Recruitment Ltd,"Auckland CBD, Auckland",Information & Communication Technology,Database Development & Administration,,,
Senior Business Analyst,,at Recruit I.T. Wellington,Wellington,Information & Communication Technology,Business/Systems Analysts,,,
Chemistry Laboratory Analyst,,at Synlait Milk Ltd,"Dunsandel, Canterbury",Science & Technology,Laboratory & Technical Services,,,
Mailing and Data Co-ordinator,,at Webstar,"Henderson, Auckland",Information & Communication Technology,Database Development & Administration,,,
Database Administrator Contract,,at Recruit I.T. Auckland,"Albany, Auckland",Information & Communication Technology,Database Development & Administration,,,
Desktop Support Analyst,,at Socialite Recruitment Ltd.,"Auckland CBD, Auckland",Information & Communication Technology,Help Desk & IT Support,,,
Microsoft Dynamics CRM 365 Analyst,,at Coastguard New Zealand.,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Senior Business Analyst,,at Infuse Recruitment,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Senior Business Analyst Contract,,at Sourced | IT Recruitment Specialists,"Christchurch, Canterbury",Information & Communication Technology,Business/Systems Analysts,,,
Client Service Executive,,at NielsenIQ,"Auckland CBD, Auckland",Call Centre & Customer Service,Customer Service - Customer Facing,,,
Paid Search Campaign Account Manager,,at ReachLocal,"Auckland CBD, Auckland",Marketing & Communications,Digital & Search Marketing,,,
Senior Australasian Equity Analyst | Funds Management,,at Debbie Graham & Associates Limited,"Auckland CBD, Auckland",Banking & Financial Services,Funds Management,,,
Senior Finance Analyst,,at BNZ,"Auckland CBD, Auckland",Banking & Financial Services,Analysis & Reporting,,,
BA/Project Manager – Takapuna,,at Alpha Recruitment - NZ,"Takapuna, Auckland",Information & Communication Technology,Programme & Project Management,,,
PwC Graduate Programme - MVD - Derivatives & Valuation,,at PwC NZ,"Auckland CBD, Auckland",Banking & Financial Services,Analysis & Reporting,,,
Business Analyst - Life Insurance domain,,at Cognizant Technology Solutions Australia Pty Ltd,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Data Administrator,,at Wurth NZ Limited,"Wiri, Auckland",Administration & Office Support,Data Entry & Word Processing,,,
Functional Test Analyst,,at Expert360,"Wellington Central, Wellington",Information & Communication Technology,Testing & Quality Assurance,,,
Senior Operational Policy Analyst,,at Department of Internal Affairs,Wellington,Consulting & Strategy,Policy,,,
Credit Analyst,,at Custom Fleet,"Auckland CBD, Auckland",Banking & Financial Services,Credit,,,
Financial Modeller - 6mth contract,,at Taska360,"Wellington Central, Wellington",Accounting,Analysis & Reporting,,,
Manager Stress Testing,,at Westpac,"Auckland CBD, Auckland",Consulting & Strategy,Analysts,,,
Technologist/Scientist - Scion,,at New Zealand Forest Research Ltd trading as Scion,"Christchurch Central, Canterbury",Science & Technology,"Environmental, Earth & Geosciences",,,
Analytical Scientist,,at Mint Innovation,"East Tamaki, Auckland",Science & Technology,Laboratory & Technical Services,,,
Senior Business Analyst,,at Talent Vault Ltd,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Senior Financial Analyst,,at INSIDE Recruitment,"Wellington Central, Wellington",Accounting,Strategy & Planning,,,
Digital Graduate Programme 2024,,at Tonkin & Taylor Ltd,"Auckland CBD, Auckland",Information & Communication Technology,Consultants,,,
Senior Business Analyst,,at Presto Resourcing,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Data & Systems Administrator,,at NZ Rugby,"Wellington Central, Wellington",Information & Communication Technology,Database Development & Administration,,,
"Kaitātari Kaupapa Here Matua | Senior Policy Analysts, Mitigation Policy",,at Ministry for the Environment,"Wellington Central, Wellington",Government & Defence,"Policy, Planning & Regulation",,,
Data Visualization Engineer,,at Needles ltd,"Wellington Central, Wellington",Information & Communication Technology,Engineering - Software,,,
Supply Chain Project Manager,,at EastPack Ltd,"Te Puke, Bay of Plenty","Manufacturing, Transport & Logistics",Other,,,
Chief Executive - Hauraki Māori Trust Board,,at Mana Recruitment,"Paeroa, Waikato",CEO & General Management,CEO,,,
IT Support Analyst,,at James Dunlop Textiles Limited,"Auckland Airport, Auckland",Information & Communication Technology,Help Desk & IT Support,,,
Authority Assurance Associate,,at BNZ,"Auckland CBD, Auckland",Banking & Financial Services,Analysis & Reporting,,,
Interim (20-25hrs) Commercial Finance Analyst,,at Consult Recruitment - Accounting and Finance,"Manukau & East Auckland, Auckland",Accounting,Management Accounting & Budgeting,,,
"Performance, Monitoring and Reporting Lead",,at Selwyn District Council,"Rolleston, Canterbury",Government & Defence,Government - Local,,,
Expressions of Interest - Senior & Junior Project Managers and Project Analysts,,at PwC NZ,"Auckland CBD, Auckland",Information & Communication Technology,Programme & Project Management,,,
Information Management Advisor,,at New Zealand Customs Service,"Wellington Central, Wellington",Information & Communication Technology,Other,,,
Card Fraud Analyst,,at Cultivate,"Auckland CBD, Auckland",Banking & Financial Services,Compliance & Risk,,,
Senior Geospatial Systems Specialist,,at Tasman District Council,"Richmond, Tasman",Government & Defence,Government - Local,,,
Athlete Monitoring System Developer,,at High Performance Sport New Zealand (HPSNZ),"Mairangi Bay, Auckland",Information & Communication Technology,Database Development & Administration,,,
Senior Business Analyst,,at HRG - Executive Search & Recruitment,Auckland,Information & Communication Technology,Business/Systems Analysts,,,
Senior Business Analyst (Insurance),,at Robert Half Technology,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
"Product Owner, Database Platforms",,at NZDF,"Petone, Wellington",Information & Communication Technology,Product Management & Development,,,
Senior Implementation Consultant,,at Orion Health,"Christchurch Central, Canterbury",Information & Communication Technology,Consultants,,,
Senior Business Anaylst (Contract) x2,,at Talent – Winner SEEK Large Recruitment Agency of the Year 2019,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Senior Operational Policy Analyst,,at Ministry for Primary Industries,"Wellington Central, Wellington",Government & Defence,"Policy, Planning & Regulation",,,
Senior Business Analyst,,at OCG Consulting Ltd,Wellington,Government & Defence,Government,,,
Data Centre Support Specialist,,at Spark New Zealand Trading Limited,"Auckland CBD, Auckland",Administration & Office Support,Other,,,
Applications Database Administrator,,at Absolute IT Limited,"Wellington Central, Wellington",Information & Communication Technology,Database Development & Administration,,,
Service Desk Analyst,,at New Zealand Police,"Porirua, Wellington",Government & Defence,Police & Corrections,,,
Systems Analyst,,at BrightSpark Recruitment,"Auckland CBD, Auckland",Information & Communication Technology,Help Desk & IT Support,,,
Team Lead Planning & Reporting,,at Frog Recruitment,Wellington,Consulting & Strategy,Strategy & Planning,,,
Analysts/Senior Analysts – Public Finance Policy and System Transformation Teams,,at The Treasury,"Wellington Central, Wellington",Government & Defence,Government - Federal,,,
Business Information Systems Manager,,at St Cuthbert's College,"Auckland CBD, Auckland",Information & Communication Technology,Management,,,
Software Engineer I - Operational Data,,at Rocket Lab,"Mount Wellington, Auckland",Information & Communication Technology,Engineering - Software,,,
Senior Adviser - Actuarial,,at Reserve Bank of New Zealand,"Auckland CBD, Auckland",Insurance & Superannuation,Actuarial,,,
Spatial Scientist,,at 4square marsden cove,"Ruakaka, Northland",Science & Technology,"Environmental, Earth & Geosciences",,,
Senior Adviser - Actuarial,,at Reserve Bank of New Zealand,Wellington,Insurance & Superannuation,Actuarial,,,
Senior Advisor Digital Information Management,,at people&co.,"Wellington Central, Wellington",Information & Communication Technology,Product Management & Development,,,
Senior Business Analyst,,at Alexander James Limited,"Glenbrook, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Senior Business Analyst / Team Lead,,at Absolute IT Limited,"Tauranga, Bay of Plenty",Information & Communication Technology,Business/Systems Analysts,,,
Ambitious Finance Graduate Sought!,,at Find Recruitment Limited,"Wellington Central, Wellington",Accounting,Analysis & Reporting,,,
Private Secretary / Senior Analyst - Child Wellbeing and Poverty Reduction Group,,at Department of the Prime Minister and Cabinet,"Wellington Central, Wellington",Administration & Office Support,"PA, EA & Secretarial",,,
Procurement Analyst - Initial Contract to June 2023,,at Taska360,"Wellington Central, Wellington","Manufacturing, Transport & Logistics","Purchasing, Procurement & Inventory",,,
Data Collection Representatives,,at PERSOLKELLY,Gisborne,Government & Defence,Other,,,
Kaitātari Kōpura | Investment Analyst,,at Te Tumu Paeroa,"Wellington Central, Wellington",Accounting,Analysis & Reporting,,,
Data Repair Officer Te Reo,,at PERSOLKELLY,Auckland,"Manufacturing, Transport & Logistics",Assembly & Process Work,,,
Business Support Analyst,,at Absolute IT Limited,"Tauranga Central, Bay of Plenty",Information & Communication Technology,Help Desk & IT Support,,,
Finance Systems Specialist (6-month fixed term),,at Rocket Lab,"Mount Wellington, Auckland",Banking & Financial Services,Other,,,
Business Application Specialist,,at Trojan Holdings Limited,"Queenstown, Otago",Information & Communication Technology,Business/Systems Analysts,,,
Data Collection Representatives,,at PERSOLKELLY,Wellington,Government & Defence,Other,,,
Domain Architect - Information and Data,,at ACC New Zealand,Wellington,Information & Communication Technology,Architects,,,
Intelligence and Security Manager,,at NZDF,"Upper Hutt, Wellington",Government & Defence,Police & Corrections,,,
Quality Analyst Lead,,at GoSee,"Auckland CBD, Auckland",Information & Communication Technology,Testing & Quality Assurance,,,
DXC Technology Graduate Program New Zealand 2024,,at DXC Technology Australia & New Zealand,"Wellington Central, Wellington",Information & Communication Technology,Consultants,,,
Service Desk Support Analyst,,at Crescent Consulting,"Dunedin Central, Otago",Information & Communication Technology,Help Desk & IT Support,,,
Research Fellow,,at The University of Waikato,"Hamilton Central, Waikato",Education & Training,Research & Fellowships,,,
Quality Assurance Support – Fixed Term,,at Stats NZ,"Wellington Central, Wellington",Call Centre & Customer Service,Management & Support,,,
Condition Monitoring Analyst,,at ALS Industrial - Tribology,"Lower Hutt, Wellington",Science & Technology,Laboratory & Technical Services,,,
Climate Scientist,,at PwC NZ,"Auckland CBD, Auckland",Science & Technology,"Environmental, Earth & Geosciences",,,
IT Project Manager / Business Analyst - Scion,,at New Zealand Forest Research Ltd trading as Scion,"Rotorua Central, Bay of Plenty",Information & Communication Technology,Programme & Project Management,,,
Research Assistant (Space Technologies),,at Wellington UniVentures,"Wellington Central, Wellington",Science & Technology,Other,,,
Senior Analyst Developer,,at Find IT Recruitment,"Wellington Central, Wellington",Information & Communication Technology,Developers/Programmers,,,
Senior Research Bidding Advisor,,at GNS Science,"Lower Hutt, Wellington",Science & Technology,Other,,,
Senior Business Analyst / Team Lead,,at Absolute IT Limited,"Rotorua Central, Bay of Plenty",Information & Communication Technology,Business/Systems Analysts,,,
Accounting Systems Administrator,,at Profile Group,"Christchurch, Canterbury",Information & Communication Technology,Business/Systems Analysts,,,
KiwiRail Graduate Programme 2024 - Corporate,,at KiwiRail,"Auckland CBD, Auckland",Government & Defence,Government - State,,,
Graduate Analyst Tester,,at FNZ Services (NZ) Limited,"Wellington Central, Wellington",Information & Communication Technology,Testing & Quality Assurance,,,
Senior MERL Insights Advisor,,at people&co.,"Wellington Central, Wellington",Community Services & Development,Other,,,
Data Collection Representatives,,at PERSOLKELLY,Otago,Government & Defence,Other,,,
"Principal, Senior and Analyst, Policy",,at Ministry for Women,"Wellington Central, Wellington",Government & Defence,"Policy, Planning & Regulation",,,
Operator - Data and Document Services,,at Marketing Impact,"Newtown, Wellington",Information & Communication Technology,Computer Operators,,,
2024 Business and Commercial Banking Graduate,,at BNZ,"Wellington Central, Wellington",Banking & Financial Services,Banking - Business,,,
Advisor,,at Ministry of Justice,"Wellington Central, Wellington",Government & Defence,Government,,,
"Senior Advisor, Information Management",,at Electoral Commission,"Wellington Central, Wellington",Information & Communication Technology,Other,,,
Schemes Governance Specialist,,at IAG NZ Ltd,"Auckland CBD, Auckland",Insurance & Superannuation,Other,,,
Associate Technical Support Analyst,,at MYOB,"Christchurch Central, Canterbury",Information & Communication Technology,Help Desk & IT Support,,,
"Kaitātari Kaupapa Here Matua | Senior Policy Analysts, Mitigation Policy",,at Ministry for the Environment,"Auckland CBD, Auckland",Government & Defence,"Policy, Planning & Regulation",,,
Senior Policy Analyst,,at New Zealand Qualifications Authority,"Wellington Central, Wellington",Consulting & Strategy,Policy,,,
Data Technician,,at FGC,"Penrose, Auckland",Trades & Services,Technicians,,,
Remuneration & Reward Lead,,at ACC New Zealand,"Auckland CBD, Auckland",Human Resources & Recruitment,Remuneration & Benefits,,,
Marketing Platform Lead,,at Humm Group Limited,"Auckland CBD, Auckland",Information & Communication Technology,Other,,,
Geospatial Specialist,,at Queenstown Lakes District Council,"Queenstown, Otago",Information & Communication Technology,Database Development & Administration,,,
Accounting Systems Specialist,,at Sandfield Associates,"Auckland CBD, Auckland",Information & Communication Technology,Other,,,
Entry Level Test Analyst,,at ASPEQ Limited,"Lower Hutt, Wellington",Information & Communication Technology,Testing & Quality Assurance,,,
Oracle support analyst (Inter/Senior),,at salt,Auckland,Information & Communication Technology,Business/Systems Analysts,,,
Automation Test Analyst,,at Te Whatu Ora Health New Zealand - Waikato,"Hamilton Central, Waikato",Information & Communication Technology,Business/Systems Analysts,,,
Data Technician (Fixed-Term),,at WSP,"Paeroa, Waikato",Engineering,Other,,,
WSP 2024 Graduate Opportunities,,at WSP,"Wellington Central, Wellington",Engineering,Civil/Structural Engineering,,,
2024 Financial Markets Graduate,,at BNZ,"Wellington Central, Wellington",Banking & Financial Services,Banking - Corporate & Institutional,,,
Senior Policy Analyst,,at Ministry of Education,"Wellington Central, Wellington",Government & Defence,"Policy, Planning & Regulation",,,
Systems Support Analyst - MinterEllisonRuddWatts (Auckland),,at MinterEllisonRuddWatts,"Auckland CBD, Auckland",Information & Communication Technology,Help Desk & IT Support,,,
SAP BW Consultant,,at Potentia,Auckland,Information & Communication Technology,Consultants,,,
Platform Specialist,,at Fire and Emergency New Zealand,"Wellington Central, Wellington",Information & Communication Technology,Database Development & Administration,,,
Senior Scientist,,at AgResearch,"Palmerston North Central, Manawatu",Science & Technology,Materials Sciences,,,
Principal Remuneration Analyst,,at NZDF,"Wellington Central, Wellington",Human Resources & Recruitment,Remuneration & Benefits,,,
Threat and Vulnerabilities Analyst,,at H2R Technology Limited,Wellington,Information & Communication Technology,Security,,,
Quality Analyst,,at Clanwilliam,"Christchurch Central, Canterbury",Information & Communication Technology,Testing & Quality Assurance,,,
Junior Technician - Fire Research,,at New Zealand Forest Research Ltd trading as Scion,"Christchurch Central, Canterbury",Science & Technology,"Environmental, Earth & Geosciences",,,
Asset Information Technician,,at DOWNER NZ,"Christchurch Central, Canterbury",Information & Communication Technology,Product Management & Development,,,
Graduate Project Manager - 2022/23 Graduates,,at Datamine Limited,"Parnell, Auckland",Information & Communication Technology,Programme & Project Management,,,
Actuarial Consultant,,at Deloitte - NZ,"Auckland CBD, Auckland",Insurance & Superannuation,Actuarial,,,
Senior Analyst - Business Recovery and Insolvency,,at Debbie Graham & Associates Limited,"Auckland CBD, Auckland",Accounting,Audit - External,,,
Functional Design Lead - Procurement,,at Fonterra Co-operative Group Ltd,"Auckland CBD, Auckland",Information & Communication Technology,Architects,,,
2024 Business and Commercial Banking Graduate,,at BNZ,"Dunedin Central, Otago",Banking & Financial Services,Banking - Business,,,
Commercial Performance and Insights Manager,,at Heritage Hotel Management Limited,"Auckland CBD, Auckland",Sales,Analysis & Reporting,,,
Product Lead (Research Systems),,at University of Otago,"North Dunedin, Otago",Information & Communication Technology,Product Management & Development,,,
Senior Operational Policy Analyst,,at Department of Internal Affairs,Wellington,Government & Defence,Government,,,
Data Collection & Analysis,,at Adecco Office,Waikato,Administration & Office Support,Other,,,
Senior Manager Risk Reporting - 10 Month Fixed-Term,,at Kiwibank,"Wellington Central, Wellington",Banking & Financial Services,Analysis & Reporting,,,
Dynamics CRM Lead Guru,,at Recruit I.T. Auckland,"Auckland CBD, Auckland",Information & Communication Technology,Developers/Programmers,,,
Digital Forensic Technician - AO HTCG,,at New Zealand Police,"Manukau & East Auckland, Auckland",Government & Defence,Police & Corrections,,,
Data Centre Site Lead 24x7,,at Datacom,"Hamilton Central, Waikato",Information & Communication Technology,Help Desk & IT Support,,,
Senior Researcher & Policy Advisor - Research & Innovation,,at The University of Auckland,"Auckland CBD, Auckland",Consulting & Strategy,Analysts,,,
2024 Business and Commercial Banking Graduate,,at BNZ,"Auckland CBD, Auckland",Banking & Financial Services,Banking - Business,,,
Senior Business Systems Advisor,,"at Ministry of Business, Innovation and Employment","Wellington Central, Wellington",Government & Defence,Government,,,
Research Agronomist,,at Private Advertiser,"Christchurch, Canterbury","Farming, Animals & Conservation",Agronomy & Farm Services,,,
